date,time,lat,lon,altitude,num satellites
07/18/2023,21:39:20,44.580736,-123.274296,64.2,6
07/18/2023,21:39:20,44.580736,-123.274296,,
07/18/2023,22:10:59,44.581073,-123.274703,41.0,4
