date,time,Acc,EventAcc,TotalAcc,RInt
08/17/2023,08:50:59,0.00,0.00,13.46,0.00
08/17/2023,08:50:59,0.00,0.00,13.46,0.00
08/17/2023,08:50:59,0.00,0.00,13.46,0.00
08/17/2023,08:51:00,0.00,0.00,13.46,0.00
08/17/2023,08:51:04,0.00,0.00,13.46,0.00
08/17/2023,08:51:04,0.00,0.00,13.46,0.00
08/17/2023,08:51:59,0.00,0.00,13.46,0.00
08/17/2023,08:52:03,0.00,0.00,13.46,0.00
08/17/2023,08:52:03,0.00,0.00,13.46,0.00
08/17/2023,08:52:03,0.00,0.00,13.46,0.00
08/17/2023,08:52:04,0.00,0.00,13.46,0.00
08/17/2023,08:52:58,0.00,0.00,13.46,0.00
08/17/2023,08:53:04,0.00,0.00,13.46,0.00
08/17/2023,09:00:04,13.46,0.00
08/17/2023,09:00:04,0.00,0.00,13.46,0.00
08/17/2023,09:01:03,0.00,0.00,13.46,0.00
08/17/2023,09:01:04,0.00,0.00,13.46,0.00
08/17/2023,09:01:04,0.00,0.00,13.46,0.00
08/17/2023,09:01:05,0.00,0.00,13.46,0.00
08/17/2023,09:02:04,0.00,0.00,13.46,0.00
08/17/2023,09:02:04,0.00,0.00,13.46,0.00
08/17/2023,09:02:04,0.00,0.00,13.46,0.00
08/17/2023,09:03:04,0.00,0.00,13.46,0.00
08/17/2023,09:03:04,mmph
08/17/2023,09:04:04,0.00,0.00,13.46,0.00
08/17/2023,09:05:04,0.00,0.00,13.46,0.00
08/17/2023,09:05:04,0.00,0.00,13.46,0.00
08/17/2023,09:05:04,0.00,0.00,13.46,0.00
08/17/2023,09:05:05,0.00,0.00,13.46,0.00
08/17/2023,09:05:05,0.00,0.00,13.46,0.00
08/17/2023,09:06:04,0.00,0.00,13.46,0.00
08/17/2023,09:06:04,0.00,0.00,13.46,0.00
08/17/2023,09:06:04,0.00,0.00,13.46,0.00
08/17/2023,09:07:03,0.00,0.00,13.46,0.00
08/17/2023,09:07:04,0.00,0.00,13.46,0.00
08/17/2023,09:07:04,0.00,0.00,13.46,0.00
08/17/2023,09:08:03,0.00,0.00,13.46,0.00
08/17/2023,09:09:04,0.00,0.00,13.46,0.00
08/17/2023,09:09:04,0.00,0.00,13.46,0.00
08/17/2023,09:09:04,0.00,0.00,13.46,0.00
08/17/2023,09:10:04,0.00,0.00,13.46,0.00
08/17/2023,09:10:04,0.00,0.00,13.46,0.00
08/17/2023,09:10:04,0.00,0.00,13.46,0.00
08/17/2023,09:11:03,0.00,0.00,13.46,0.00
08/17/2023,09:12:04,EventAcc,13.46,0.00
08/17/2023,09:12:04,0.00,0.00,13.46,0.00
08/17/2023,09:12:04,0.00,0.00,13.46,0.00
08/17/2023,09:13:03,0.00,0.00,13.46,0.00
08/17/2023,09:13:03,0.00,0.00,13.46,0.00
08/17/2023,09:13:04,0.00,0.00,13.46,0.00
08/17/2023,09:15:04,mmEventAcc,13.46,0.00
08/17/2023,09:15:04,0.00,0.00,13.46,0.00
08/17/2023,09:15:04,mmh
08/17/2023,09:15:04,0.00,0.00,13.46,0.00
08/17/2023,09:16:03,0.00,0.00,13.46,0.00
08/17/2023,09:16:04,0.00,0.00,13.46,0.00
08/17/2023,09:18:03,0.00,0.00,13.46,0.00
08/17/2023,09:18:03,0.00,0.00,13.46,0.00
08/17/2023,09:18:03,0.00,0.00,13.46,0.00
08/17/2023,09:18:04,0.00,0.00,13.46,0.00
08/17/2023,09:18:04,0.00,0.00,13.46,0.00
08/17/2023,09:19:03,0.00,0.00,13.46,0.00
08/17/2023,09:19:04,0.00,0.00,13.46,0.00
08/17/2023,09:19:04,0.00,0.00,13.46,0.00
08/17/2023,09:19:04,0.00,0.00,13.46,0.00
08/17/2023,09:20:03,0.00,0.00,13.46,0.00
08/17/2023,09:20:04,0.00,0.00,13.46,0.00
08/17/2023,09:24:04,0.00,0.00,13.46,0.00
08/17/2023,09:24:04,0.00,0.00,13.46,0.00
08/17/2023,09:24:04,0.00,0.00,13.46,0.00
08/17/2023,09:25:04,0.00,0.00,13.46,0.00
08/17/2023,09:25:05,0.00,0.00,13.46,0.00
08/17/2023,09:29:03,mm,13.46,0.00
08/17/2023,09:29:03,0.00,0.00,13.46,0.00
08/17/2023,09:33:03,0.00,0.00,13.46,0.00
08/17/2023,09:33:03,0.00,0.00,13.46,0.00
08/17/2023,09:33:04,0.00,0.00,13.46,0.00
08/17/2023,09:33:04,0.00,13.46,0.00
08/17/2023,09:34:04,0.00,0.00,13.46,0.00
08/17/2023,09:34:04,0.00,0.00,13.46,0.00
08/17/2023,09:35:04,0.00,0.00,13.46,0.00
08/17/2023,09:35:04,0.00,0.00,13.46,0.00
08/17/2023,09:35:04,0.00,0.00,13.46,0.00
08/17/2023,09:35:04,0.00,0.00,13.46,0.00
08/17/2023,09:36:04,0.00,0.00,13.46,0.00
08/17/2023,09:36:04,0.00,0.00,13.46,0.00
08/17/2023,09:37:04,0.00,0.00,13.46,0.00
08/17/2023,09:37:04,0.00,0.00,13.46,0.00
08/17/2023,09:38:04,m,0.00
08/17/2023,09:39:03,0.00,0.00,13.46,0.00
08/17/2023,09:39:04,0.00,0.00,13.46,0.00
08/17/2023,09:40:03,0.00,0.00,13.46,0.00
08/17/2023,09:40:04,0.00,0.00,13.46,0.00
08/17/2023,09:41:04,0.00,0.00,13.46,0.00
08/17/2023,09:42:04,0.00,0.00,13.46,0.00
08/17/2023,09:42:04,0.00,0.00,13.46,0.00
08/17/2023,09:43:02,0.00,0.00,13.46,0.00
08/17/2023,09:43:03,0.00,0.00,13.46,0.00
08/17/2023,09:43:04,0.00,0.00,13.46,0.00
08/17/2023,09:47:04,0.00,0.00,13.46,0.00
08/17/2023,09:47:04,mm,0.00,13.46,0.00
08/17/2023,09:47:05,0.00,0.00,13.46,0.00
08/17/2023,09:48:04,0.00,0.00,13.46,0.00
08/17/2023,09:56:04,mm,0.00
08/17/2023,09:56:04,0.00,0.00,13.46,0.00
08/17/2023,09:56:04,mm,0.00
08/17/2023,09:56:05,0.00,0.00,13.46,0.00
08/17/2023,09:57:03,0.00,0.00,13.46,0.00
08/17/2023,09:57:04,0.00,0.00,13.46,0.00
08/17/2023,09:57:04,0.00,0.00,13.46,0.00
08/17/2023,09:58:03,mm,13.46,0.00
08/17/2023,09:58:03,0.00,0.00,13.46,0.00
08/17/2023,09:58:04,0.00,0.00,13.46,0.00
08/17/2023,09:59:03,0.00,0.00,13.46,0.00
08/17/2023,10:02:04,0.00,0.00,13.46,0.00
08/17/2023,10:05:04,mm,13.46,0.00
08/17/2023,10:06:03,0.00,0.00,13.46,0.00
08/17/2023,10:06:04,0.00,0.00,13.46,0.00
08/17/2023,10:06:04,0.00,0.00,13.46,0.00
08/17/2023,10:07:03,0.00,0.00,13.46,0.00
08/17/2023,10:07:03,0.00,0.00,13.46,0.00
08/17/2023,10:07:04,0.00,0.00,13.46,0.00
08/17/2023,10:07:04,0.00,0.00,13.46,0.00
08/17/2023,10:08:03,0.00,0.00,13.46,0.00
08/17/2023,10:16:04,0.00,00mm,13.46,0.00
08/17/2023,10:17:03,0.00,0.00,13.46,0.00
08/17/2023,10:17:04,0.00,0.00,13.46,0.00
08/17/2023,10:17:04,0.00,0.00,13.46,0.00
08/17/2023,10:17:05,0.00,0.00,13.46,0.00
08/17/2023,10:18:03,0.00,0.00,13.46,0.00
08/17/2023,10:18:03,0.00,0.00,13.46,0.00
08/17/2023,10:18:03,0.00,0.00,13.46,0.00
08/17/2023,10:18:04,0.00,0.00,13.46,0.00
08/17/2023,10:18:04,0.00,0.00,13.46,0.00
08/17/2023,10:19:04,0.00,0.00,13.46,0.00
08/17/2023,10:19:04,mmph
08/17/2023,10:19:05,0.00,0.00,13.46,0.00
08/17/2023,10:20:03,0.00,mmotalAcc,0.00
08/17/2023,10:21:04,mm,0.00
08/17/2023,10:21:05,0.00,0.00,13.46,0.00
08/17/2023,10:21:05,0.00,0.00,13.46,0.00
08/17/2023,10:22:02,0.00,0.00,13.46,0.00
08/17/2023,10:22:04,0.00,0.00,13.46,0.00
08/17/2023,10:22:04,0.00,0.00,13.46,0.00
08/17/2023,10:22:04,0.00,0.00,13.46,0.00
08/17/2023,10:23:04,0.00,0.00,13.46,0
08/17/2023,10:23:04,0.00,0.00,13.46,0.00
