date,time,Acc,EventAcc,TotalAcc,RInt
08/16/2023,08:45:50,0.00,0.00,13.46,0.00
08/16/2023,08:45:50,0.00,0.00,13.46,0.00
08/16/2023,08:45:50,0.00,0.00,13.46,0.00
08/16/2023,08:46:03,0.00,0.00,13.46,0.00
08/16/2023,08:47:03,0.00,0.00,13.46,0.00
08/16/2023,08:48:04,mm,13.46,0.00
08/16/2023,08:48:04,0.00,0.00,13.46,0.00
08/16/2023,08:49:03,0.00,0.00,13.46,0.00
08/16/2023,08:49:04,0.00,0.00,13.46,0.00
08/16/2023,08:49:04,0.00,0.00,13.46,0.00
08/16/2023,08:50:04,mm,0.00
08/16/2023,08:50:04,0.00,0.00,13.46,0.00
08/16/2023,08:51:04,mm,0.00,13.46,0.00
08/16/2023,08:51:04,0.00,0.00,13.46,0.00
08/16/2023,08:51:04,0.00,0.00,13.46,0.00
08/16/2023,08:52:04,0.00,0.00,13.46,0.00
08/16/2023,08:54:03,0.00,0.00,13.46,0.00
08/16/2023,09:01:04,m
08/16/2023,09:01:04,0.00,0.00,mm,mmphAcc,13.46,0.00
08/16/2023,09:01:04,0.00,00,13.46,0.00
08/16/2023,09:02:03,0.00,0.00,13.46,0.00
08/16/2023,09:02:04,0.00,0.00,13.46,0.00
08/16/2023,09:02:04,0.00,0.00,13.46,0.00
08/16/2023,09:03:04,0.00,0.00,13.46,0.00
08/16/2023,09:03:04,0.00,0.00,13.46,0.00
08/16/2023,09:03:04,0.00,0.00,13.46,0.00
08/16/2023,09:04:03,0.00,0.00,13.46,0.00
08/16/2023,09:04:04,0.00,0.00,13.46,0.00
08/16/2023,09:04:04,0.00,0.00,13.46,0.00
08/16/2023,09:05:04,0.00,0.00,13.46,0.00
08/16/2023,09:05:04,13.46,0.00
08/16/2023,09:05:04,0.00,0.00,13.46,0.00
08/16/2023,09:06:04,0.00,0.00,13.46,0.00
08/16/2023,09:06:04,0.00,0.00,13.46,0.00
08/16/2023,09:06:04,0.00,0.00,13.46,0.00
08/16/2023,09:07:03,0.00,0.00,13.46,0.00
08/16/2023,09:07:03,0.00,0.00,13.46,0.00
08/16/2023,09:07:04,0.00,0.00,13.46,0.00
08/16/2023,09:07:04,0.00,0.00,13.46,0.00
08/16/2023,09:07:05,0.00,0.00,13.46,0.00
08/16/2023,09:08:03,0.00,0.00,13.46,0.00
08/16/2023,09:08:03,0.00,0.00,13.46,0.00
08/16/2023,09:08:04,0.00,0.00,13.46,0.00
08/16/2023,09:16:02,0.00,0.00,13.46,0.00
08/16/2023,09:16:03,0.00,0.00,13.46,0.00
08/16/2023,09:18:04,0.00,0.00,13.46,0.00
08/16/2023,09:18:04,0.00,0.00,13.46,0.00
08/16/2023,09:18:04,0.00,0.00,13.46,0.00
08/16/2023,09:18:04,0.00,0.00,13.46,0.00
08/16/2023,09:18:04,0.00,0.00,13.46,0.00
08/16/2023,09:19:03,0.00,0.00,13.46,0.00
08/16/2023,09:19:04,0.00,0.00,13.46,0.00
08/16/2023,09:20:04,0.00,0.00,13.46,0.00
08/16/2023,09:20:04,0.00,0.00,13.46,0.00
08/16/2023,09:20:04,0.00,0.00,13.46,0.00
08/16/2023,09:21:04,0.00,0.00,13.46,0.0
08/16/2023,09:21:04
08/16/2023,09:21:05,0.00,0.00,13.46,0.00
08/16/2023,09:21:05,0.00,0.00,13.46,0.00
08/16/2023,09:22:04
08/16/2023,09:22:04,mm,13.46,0.00,0.00
08/16/2023,09:23:03,0.,13.46,0.00
08/16/2023,09:23:04,0.00,0.00,13.46,0.00
08/16/2023,09:23:04,0.00,0.00,13.46,0.00
08/16/2023,09:24:05,0.00,0.00,13.46,0.00
08/16/2023,09:24:05,0.00,0.00,13.46,0.00
08/16/2023,09:25:03,0.00,0.00,13.46,0.00
08/16/2023,09:25:03,0.00,0.00,13.46,0.00
08/16/2023,09:25:04,0.00,0.00,13.46,0.00
08/16/2023,09:26:04,0.00,0.00,13.46,0.00
08/16/2023,09:26:04,0.00,0.00,13.46,0.00
08/16/2023,09:26:04,0.00,0.00,13.46,0.00
08/16/2023,09:26:05,0.00,0.00,13.46,0.00
08/16/2023,09:28:04,0.0,0.00,13.46,0.00
08/16/2023,09:28:04,0.00,0.00,13.46,0.00
08/16/2023,09:29:04,0.00,0.00,13.46,0.00
08/16/2023,09:29:05,0.00,0.00,13.46,0.00
08/16/2023,09:30:03,0.00,0.00,13.46,0.00
08/16/2023,09:30:04,0.00,0.00,13.46,0.00
08/16/2023,09:30:04,0.00,0.00,13.46,0.00
08/16/2023,09:30:04,0.00,0.00,13.46,0.00
08/16/2023,09:30:04,0.00,0.00,13.46,0.00
08/16/2023,09:31:03,0.00,0.00,13.46,0.00
08/16/2023,09:31:04,0.00,0.00,13.46,0.00
08/16/2023,09:31:04,0.00,0.00,13.46,0.00
08/16/2023,09:38:04,0.00,13.46,0.00
08/16/2023,09:39:03,0.00,0.00,13.46,00
08/16/2023,09:39:04,Acc,0.00,13.46,0.00
08/16/2023,09:39:04,0.00,0.00,13.46,0.00
08/16/2023,09:40:04,0.00,0.00,13.46,0.00
08/16/2023,09:40:04,0.00,0.00,13.46,0.00
08/16/2023,09:40:04,0.00,0.00,13.46,0.00
08/16/2023,09:40:04,0.00,0.00,13.46,0.00
08/16/2023,09:40:05,0.00,0.00,13.46,0.00
08/16/2023,09:41:03,13.46,0.00
08/16/2023,09:41:04,0.00,0.00,13.46,0.00
08/16/2023,09:41:04,0.00,0.00,13.46,0.00
08/16/2023,09:42:05,0.00,0.00,13.46,0.00
08/16/2023,09:42:05,0.00,0.00,13.46,0.00
08/16/2023,09:43:03,0.00,0.00,13.46,0.00
08/16/2023,09:43:04,0.00,0.00,13.46,0.00
08/16/2023,09:43:04,0.00,0.00,13.46,0.00
08/16/2023,09:43:04,0.00,0.00,13.46,0.00
08/16/2023,09:44:04,0.00,0.00,13.46,0.00
08/16/2023,09:45:04,0.00,0.00,13.46,0.00
08/16/2023,09:48:04,mm,0.00,13.46,0.00
08/16/2023,09:48:04,0.00,0.00,13.46,0.00
08/16/2023,09:49:04,0.00,0.00,13.46,0.00
08/16/2023,09:49:05,0.00,0.00,13.46,0.00
08/16/2023,09:49:05,0.00,0.00,13.46,0.00
08/16/2023,09:50:03,0.00,0.00,13.46,0.00
08/16/2023,09:50:04,0.00,0.00,13.46,0.00
08/16/2023,09:50:04,0.00,0.00,13.46,0.00
08/16/2023,09:51:04,0.00,0.00,13.46,0.00
08/16/2023,09:51:04,0.00,0.00,13.46,0.00
08/16/2023,09:51:04,0.00,0.00,13.46,0.00
08/16/2023,09:52:04,0.00,0.00,13.46,0.00
08/16/2023,09:52:04,0.00,0.00,13.46,0.00
08/16/2023,09:53:03,0.00,0.00,13.46,0.00
08/16/2023,09:53:03,0.00,0.00,13.46,0.00
08/16/2023,09:53:04,0.00,0.00,13.46,0.00
08/16/2023,09:53:05,0.00,0.00,13.46,0.00
08/16/2023,09:59:03,mm,13.46,0.00
08/16/2023,09:59:04,0.00,0.00,13.46,0.00
08/16/2023,09:59:04,0.00,0.00,13.46,0.00
08/16/2023,09:59:04,mmph
