date,time,Acc,EventAcc,TotalAcc,RInt
07/04/2023,10:00:08,0.00,0.10,8.76,0.00
07/04/2023,10:00:38,0.00,0.10,8.76,0.00
07/04/2023,10:01:02,0.00,0.10,8.76,0.00
07/04/2023,10:01:32,0.00,0.10,8.76,0.00
07/04/2023,10:02:02,0.00,0.10,8.76,0.00
07/04/2023,10:02:32,0.00,0.10,8.76,0.00
07/04/2023,10:03:02,0.00,0.10,8.76,0.00
07/04/2023,10:03:32,0.00,0.10,8.76,0.00
07/04/2023,10:04:02,0.00,0.10,8.76,0.00
07/04/2023,10:04:32,0.00,0.10,8.76,0.00
07/04/2023,10:05:02,0.00,0.10,8.76,0.00
07/04/2023,10:05:32,0.00,0.10,8.76,0.00
07/04/2023,10:06:02,0.00,0.10,8.76,0.00
07/04/2023,10:06:32,0.00,0.10,8.76,0.00
07/04/2023,10:07:02,0.00,0.10,8.76,0.00
07/04/2023,10:07:32,0.00,0.10,8.76,0.00
07/04/2023,10:08:02,0.00,0.10,8.76,0.00
07/04/2023,10:08:32,0.00,0.10,8.76,0.00
07/04/2023,10:09:02,0.00,0.10,8.76,0.00
07/04/2023,10:09:32,0.00,0.10,8.76,0.00
07/04/2023,10:10:02,0.00,0.10,8.76,0.00
07/04/2023,10:10:32,0.00,0.10,8.76,0.00
07/04/2023,10:11:02,0.00,0.10,8.76,0.00
07/04/2023,10:11:32,0.00,0.10,8.76,0.00
07/04/2023,10:12:02,0.00,0.10,8.76,0.00
07/04/2023,10:12:32,0.00,0.10,8.76,0.00
07/04/2023,10:13:02,0.00,0.10,8.76,0.00
07/04/2023,10:13:32,0.00,0.10,8.76,0.00
07/04/2023,10:14:01,0.00,0.10,8.76,0.00
07/04/2023,10:14:31,0.00,0.10,8.76,0.00
07/04/2023,10:15:03,0.59,0.69,9.35,29.63
07/04/2023,10:15:33,0.73,1.42,10.08,99.81
07/04/2023,10:16:02,0.00,1.42,10.08,99.81
07/04/2023,10:16:32,0.00,1.42,10.08,0.00
07/04/2023,10:17:02,0.00,1.42,10.08,0.00
07/04/2023,10:17:32,0.00,1.42,10.08,0.00
07/04/2023,10:18:03,0.00,1.42,10.08,0.00
07/04/2023,10:18:33,0.00,1.42,10.08,0.00
07/04/2023,10:19:03,0.00,1.42,10.08,0.00
07/04/2023,10:19:33,0.00,1.42,10.08,0.00
07/04/2023,10:20:02,0.00,1.42,10.08,0.00
07/04/2023,10:20:32,0.00,1.42,10.08,0.00
07/04/2023,10:21:02,0.00,1.42,10.08,0.00
07/04/2023,10:21:32,0.00,1.42,10.08,0.00
07/04/2023,10:22:03,0.00,1.42,10.08,0.00
07/04/2023,10:22:33,0.00,1.42,10.08,0.00
07/04/2023,10:23:02,0.00,1.42,10.08,0.00
07/04/2023,10:23:32,0.00,1.42,10.08,0.00
07/04/2023,10:24:02,0.00,1.42,10.08,0.00
07/04/2023,10:24:32,0.00,1.42,10.08,0.00
07/04/2023,10:25:02,0.00,1.42,10.08,0.00
07/04/2023,10:25:32,0.00,1.42,10.08,0.00
07/04/2023,10:26:02,0.00,1.42,10.08,0.00
07/04/2023,10:26:32,0.00,1.42,10.08,0.00
07/04/2023,10:27:03,0.00,1.42,10.08,0.00
07/04/2023,10:27:33,0.00,1.42,10.08,0.00
07/04/2023,10:28:03,0.00,1.42,10.08,0.00
07/04/2023,10:28:33,0.00,1.42,10.08,0.00
07/04/2023,10:29:03,0.00,1.42,10.08,0.00
07/04/2023,10:29:33,0.00,1.42,10.08,0.00
07/04/2023,10:30:03,0.00,1.42,10.08,0.00
07/04/2023,10:30:33,0.00,1.42,10.08,0.00
07/04/2023,10:31:02,0.00,1.42,10.08,0.00
07/04/2023,10:31:32,0.00,1.42,10.08,0.00
07/04/2023,10:32:02,0.00,1.42,10.08,0.00
