date,time,Acc,EventAcc,TotalAcc,RInt
12/02/2023,11:55:04,0.00,0.00,29.07,0.00
12/02/2023,12:00:02,0.00,0.00,29.07,0.00
12/02/2023,12:05:03,0.00,0.00,29.07,0.00
12/02/2023,12:10:02,0.00,0.00,29.07,0.00
12/02/2023,12:15:02,0.00,0.00,29.07,0.00
12/02/2023,12:20:02,0.00,0.00,29.07,0.00
12/02/2023,12:25:02,0.00,0.00,29.07,0.00
12/02/2023,12:30:03,0.00,0.00,29.07,0.00
12/02/2023,12:35:02,0.00,0.00,29.07,0.00
12/02/2023,12:40:02,0.00,0.00,29.07,0.00
12/02/2023,12:45:04,0.00,0.00,29.07,0.00
12/02/2023,12:50:02,0.00,0.00,29.07,0.00
12/02/2023,12:55:02,0.00,0.00,29.07,0.00
12/02/2023,13:00:02,0.00,0.00,29.07,0.00
12/02/2023,13:05:02,0.00,0.00,29.07,0.00
12/02/2023,13:10:03,0.00,0.00,29.07,0.00
12/02/2023,13:15:02,0.00,0.00,29.07,0.00
12/02/2023,13:20:02,0.00,0.00,29.07,0.00
12/02/2023,13:25:03,0.00,0.00,29.07,0.00
12/02/2023,13:30:02,0.00,0.00,29.07,0.00
12/02/2023,13:35:03,0.00,0.00,29.07,0.00
12/02/2023,13:40:02,0.00,0.00,29.07,0.00
12/02/2023,13:45:03,0.00,0.00,29.07,0.00
12/02/2023,13:50:02,0.00,0.00,29.07,0.00
12/02/2023,13:55:02,0.00,0.00,29.07,0.00
12/02/2023,14:00:02,0.00,0.00,29.07,0.00
12/02/2023,14:05:02,0.00,0.00,29.07,0.00
12/02/2023,14:10:03,0.00,0.00,29.07,0.00
12/02/2023,14:15:02,0.00,0.00,29.07,0.00
12/02/2023,14:20:03,0.00,0.00,29.07,0.00
12/02/2023,14:25:02,0.00,0.00,29.07,0.00
12/02/2023,14:30:02,0.00,0.00,29.07,0.00
12/02/2023,14:35:02,0.00,0.00,29.07,0.00
12/02/2023,14:40:02,0.00,0.00,29.07,0.00
