date,time,Acc,EventAcc,TotalAcc,RInt
03/19/2023,20:23:24,0.00,0.00,10.95,0.00
03/19/2023,20:23:37,0.00,0.00,10.95,0.00
03/19/2023,20:23:40,0.00,0.00,10.95,0.00
03/19/2023,20:23:42,0.00,0.00,10.95,0.00
03/19/2023,20:25:27,0.00,0.00,10.95,0.00
03/19/2023,20:25:41,0.00,0.00,10.95,0.00
03/19/2023,20:25:43,0.00,0.00,10.95,0.00
03/19/2023,20:25:45,0.00,0.00,10.95,0.00
03/19/2023,20:25:55,0.00,0.00,10.95,0.00
03/19/2023,20:25:58,0.00,0.00,10.95,0.00
03/19/2023,20:26:03,0.00,0.00,10.95,0.00
03/19/2023,20:26:08,0.00,0.00,10.95,0.00
03/19/2023,20:26:10,0.00,0.00,10.95,0.00
03/19/2023,20:26:12,0.00,0.00,10.95,0.00
03/19/2023,20:26:14,0.00,0.00,10.95,0.00
03/19/2023,20:26:15,0.00,0.00,10.95,0.00
03/19/2023,20:26:20,0.00,0.00,10.95,0.00
03/19/2023,20:26:23,0.00,0.00,10.95,0.00
03/19/2023,20:26:33,0.00,0.00,10.95,0.00
03/19/2023,20:26:37,0.00,0.00,10.95,0.00
03/19/2023,20:27:35,0.00,0.00,10.95,0.00
03/19/2023,20:27:49,0.00,0.00,10.95,0.00
03/19/2023,20:27:55,0.00,0.00,10.95,0.00
03/19/2023,20:27:57,0.00,0.00,10.95,0.00
03/19/2023,20:27:59,0.00,0.00,10.95,0.00
03/19/2023,21:17:25,0.00,0.00,10.95,0.00
03/19/2023,21:19:18,0.00,0.00,10.95,0.00
03/19/2023,21:22:49,0.00,0.00,10.95,0.00
03/19/2023,21:27:54,0.00,0.00,10.95,0.00
03/19/2023,21:28:40,0.00,0.00,10.95,0.00
03/19/2023,21:28:50,0.00,0.00,10.95,0.00
