date,time,.00,TotalAcc,RInt
07/20/2023,01:12:03,0.00,0.00,12.01,0.00
07/20/2023,01:12:04,0.00,0.00,12.01,0.00
07/20/2023,01:12:04,0.00,0.00,12.01,0.00
07/20/2023,01:13:03,0.00,0.00,12.01,0.00
07/20/2023,01:13:04,0.00,0.00,12.01,0.00
07/20/2023,01:14:03,0.00,0.00,12.01,0.00
07/20/2023,01:14:04,0.00,0.00,12.01,0.00
07/20/2023,01:15:04,0.00,0.00,12.01,0.00
07/20/2023,01:15:04,0.00,0.00,12.01,0.00
07/20/2023,01:15:04,0.00,0.00,12.01,0.00
07/20/2023,01:16:04,0.00,0.00,12.01,0.00
07/20/2023,01:16:04,0.00,0.00,12.01,0.00
07/20/2023,01:17:04,0.00,0.00,12.01,0.00
07/20/2023,01:17:04,0.00,0.00,12.01,0.00
07/20/2023,01:18:04,0.00,0.00,12.01,0.00
07/20/2023,01:18:04,0.00,0.00,12.01,0.00
07/20/2023,01:18:04,0.00,0.00,12.01,0.00
07/20/2023,01:19:03,0.00,0.00,12.01,0.00
07/20/2023,01:19:03,0.00,0.00,12.01,0.00
07/20/2023,01:20:04,0.00,0.00,12.01,0.00
07/20/2023,01:20:04,0.00,0.00,12.01,0.00
07/20/2023,01:20:04,0.00,0.00,12.01,0.00
07/20/2023,01:21:03,0.00,0.00,12.01,0.00
07/20/2023,01:21:04,0.00,0.00,12.01,0.00
07/20/2023,01:22:04,0.00,0.00,12.01,0.00
07/20/2023,01:22:04,0.00,0.00,12.01,0.00
07/20/2023,01:23:03
07/20/2023,01:23:03,0.00,0.00,12.01,0.00
07/20/2023,01:24:04,0.00,0.00,12.01,0.00
07/20/2023,01:24:04,0.00,0.00,12.01,0.00
07/20/2023,01:24:04,0.00,0.00,12.01,0.00
07/20/2023,01:25:03,0.00,0.00,12.01,0.00
07/20/2023,01:25:04,0.00,0.00,12.01,0.00
07/20/2023,01:26:03,0.00,0.00,12.01,0.00
07/20/2023,01:26:03,0.00,0.00,12.01,0.00
07/20/2023,01:27:04,0.00,0.00,12.01,0.00
07/20/2023,01:27:04,0.00,0.00,12.01,0.00
07/20/2023,01:31:32,0.00,0.00,12.01,0.00
07/20/2023,01:32:04,0.00,0.00,12.01,0.00
07/20/2023,01:32:04,0.00,0.00,12.01,0.00
07/20/2023,01:32:04,0.00,0.00,12.01,0.00
07/20/2023,01:33:03,0.00,0.00,12.01,0.00
07/20/2023,01:33:04,0.00,0.00,12.01,0.00
07/20/2023,01:33:32,0.00,0.00,12.01,0.00
07/20/2023,01:34:03,0.00,0.00,12.01,0.00
07/20/2023,01:34:03,0.00,0.00,12.01,0.00
07/20/2023,01:35:03,0.00,0.00,12.01,0.00
07/20/2023,01:35:04,0.00,0.00,12.01,0.00
