date,time,Acc,EventAcc,TotalAcc,RInt
08/04/2023,00:02:04,0.00,0.00,13.31,0.00
08/04/2023,00:02:04,0.00,0.00,13.31,0.00
08/04/2023,00:03:03,0.00,0.00,13.31,0.00
08/04/2023,00:03:03,0.00,0.00,13.31,0.00
08/04/2023,00:03:04,0.00,0.00,13.31,0.00
08/04/2023,00:03:04,0.00,0.00,13.31,0.00
08/04/2023,00:03:04,0.00,0.00,13.31,0.00
08/04/2023,00:04:03,0.00,0.00,13.31,0.00
08/04/2023,00:04:04,0.00,0.00,13.31,0.00
08/04/2023,00:05:04,0.00,0.00,13.31,0.00
08/04/2023,00:05:04,0.00,0.00,13.31,0.00
08/04/2023,00:05:05,0.00,0.00,13.31,0.00
08/04/2023,00:06:03,0.00,0.00,13.31,0.00
08/04/2023,00:06:04,0.00,0.00,13.31,0.00
08/04/2023,00:07:03,0.00,0.00,13.31,0.00
08/04/2023,00:07:03,0.00,0.00,13.31,0.00
08/04/2023,00:07:03,0.00,0.00,13.31,0.00
08/04/2023,00:07:04,0.00,0.00,13.31,0.00
08/04/2023,00:07:04,0.00,0.00,13.31,0.00
08/04/2023,00:08:03,0.00,0.00,13.31,0.00
08/04/2023,00:08:03,0.00,0.00,13.31,0.00
08/04/2023,00:08:04,0.00,0.00,13.31,0.00
08/04/2023,00:09:03,0.00,0.00,13.31,0.00
08/04/2023,00:09:03,0.00,0.00,13.31,0.00
08/04/2023,00:09:04,0.00,0.00,13.31,0.00
08/04/2023,00:11:03,0.00,0.00,13.31,0.00
08/04/2023,00:11:03,0.00,0.00,13.31,0.00
08/04/2023,00:12:04,0.00,0.00,13.31,0.00
08/04/2023,00:12:04,0.00,0.00,13.31,0.00
08/04/2023,00:13:03,0.00,0.00,13.31,0.00
08/04/2023,00:13:04,0.00,0.00,13.31,0.00
08/04/2023,00:13:04,0.00,0.00,13.31,0.00
08/04/2023,00:13:04,0.00,0.00,13.31,0.00
08/04/2023,00:14:03,0.00,0.00,13.31,0.00
08/04/2023,00:14:04,0.00,0.00,13.31,0.00
08/04/2023,00:14:04,0.00,0.00,13.31,0.00
08/04/2023,00:14:04,0.00,0.00,13.31,0.00
08/04/2023,00:15:04,0.00,0.00,13.31,0.00
08/04/2023,00:23:03,0.00,0.00,13.31,0.00
08/04/2023,00:23:03,0.00,0.00,13.31,0.00
08/04/2023,00:23:04,0.00,0.00,13.31,0.00
08/04/2023,00:23:04,0.00,0.00,13.31,0.00
08/04/2023,00:23:04,0.00,0.00,13.31,0.00
08/04/2023,00:29:03,13.31,0.00
08/04/2023,00:29:04,0.00,0.00,13.31,0.00
08/04/2023,00:29:04,0.00,0.00,13.31,0.00
08/04/2023,00:29:04,0.00,0.00,13.31,0.00
08/04/2023,00:30:03,0.00,0.00,13.31,0.00
08/04/2023,00:30:03,0.00,0.00,13.31,0.00
08/04/2023,00:30:04,0.00,0.00,13.31,0.00
08/04/2023,00:32:03,0.00,0.00,13.31,0.00
08/04/2023,00:33:03,0.00,0.00,13.31,0.00
08/04/2023,00:33:03,0.00,0.00,13.31,0.00
08/04/2023,00:33:03,0.00,0.00,13.31,0.00
08/04/2023,00:33:04,0.00,0.00,13.31,0.00
08/04/2023,00:33:04,0.00,0.00,13.31,0.00
08/04/2023,00:34:03,0.00,0.00,13.31,0.00
08/04/2023,00:36:03,0.00,0.00,13.31,0.00
08/04/2023,00:36:04,0.00,0.00,13.31,0.00
08/04/2023,00:36:04,0.00,0.00,13.31,0.00
08/04/2023,00:36:04,0.00,0.00,13.31,0.00
08/04/2023,00:37:03,0.00,0.00,13.31,0.00
08/04/2023,00:38:03,0.00,0.00,13.31,0.00
08/04/2023,00:38:03,0.00,0.00,13.31,0.00
08/04/2023,00:39:03,0.00,0.00,13.31,0.00
08/04/2023,00:39:03,0.00,0.00,13.31,0.00
08/04/2023,00:39:04,0.00,0.00,13.31,0.00
08/04/2023,00:39:04,0.00,0.00,13.31,0.00
08/04/2023,00:40:03,0.00,0.00,13.31,0.00
08/04/2023,00:40:04,0.00,0.00,13.31,0.00
08/04/2023,00:40:04,0.00,0.00,13.31,0.00
08/04/2023,00:40:04,0.00,0.00,13.31,0.00
08/04/2023,00:40:04,0.00,0.00,13.31,0.00
08/04/2023,00:41:03,0.00,0.00,13.31,0.00
08/04/2023,00:41:04,0.00,0.00,13.31,0.00
08/04/2023,00:42:03,0.00,0.00,.1,0.00
08/04/2023,00:42:03,0.00,0.00,13.31,0.00
08/04/2023,00:42:03,0.00,0.00,13.31,0.00
08/04/2023,00:42:03,0.00,0.00,13.31,0.00
08/04/2023,00:42:04,0.00,0.00,13.31,0.00
08/04/2023,00:43:03,0.00,0.00,13.31,0.00
08/04/2023,00:43:04,0.00,0.00,13.31,0.00
08/04/2023,00:43:04,0.00,0.00,13.31,0.00
08/04/2023,00:44:03,0.00,0.00,13.31,0.00
08/04/2023,00:44:03,0.00,0.00,13.31,0.00
08/04/2023,00:44:04,0.00,0.00,13.31,0.00
08/04/2023,00:44:04,0.00,0.00,13.31,0.00
08/04/2023,00:44:04,0.00,0.00,13.31,0.00
08/04/2023,00:45:03,0.00,0.00,133m,0.00
08/04/2023,00:45:04,mm,13.31,0.00
08/04/2023,00:46:03
08/04/2023,00:46:03,0.00,0.00,13.31,0.00
08/04/2023,00:46:03,0.00,0.00,13.31,0.00
08/04/2023,00:46:04,0.00,0.00,13.31,0.00
08/04/2023,00:46:04,0.00,0.00,13.31,0.00
08/04/2023,00:47:03,0.00,0.00,13.31,0.00
08/04/2023,00:47:03,0.00,0.00,13.31,0.00
08/04/2023,00:47:03,0.00,0.00,13.31,0.00
08/04/2023,00:47:04,0.00,0.00,13.31,0.00
08/04/2023,00:48:03,0.00,0.00,13.31,0.00
08/04/2023,00:50:04
08/04/2023,00:50:04,0.00,0.00,13.31,0.00
08/04/2023,00:51:04,0.00,0.00,13.31,0.00
08/04/2023,00:51:05,0.00,0.00,13.31,0.00
08/04/2023,00:52:04,0.00,0.00,13.31,0.00
08/04/2023,00:52:04,0.00,0.00,13.31,0.00
08/04/2023,00:52:04,0.00,0.00,13.31,0.00
08/04/2023,00:52:04,0.00,0.00,13.31,0.00
08/04/2023,00:53:03,0.00,0.00,13.31,0.00
08/04/2023,00:53:04,0.00,0.00,13.31,0.00
08/04/2023,00:54:03,0.00,0.00,13.31,0.00
08/04/2023,00:55:03,0.00,0.00,13.31,0.00
08/04/2023,00:55:04,0.00,0.00,13.31,0.00
08/04/2023,00:56:03,0.00,0.00,13.31,0.00
08/04/2023,00:56:04
08/04/2023,00:57:04,0.00,0.00,13.31,0.00
08/04/2023,00:57:04,0.00,13.31,0.00
08/04/2023,00:57:04,0.00,0.00,13.31,0.00
08/04/2023,00:58:04,0.00,0.00,13.31,0.00
08/04/2023,00:58:04,0.00,0.00,13.31,0.00
08/04/2023,00:58:04,0.00,0.00,13.31,0.00
08/04/2023,00:58:05,0.00,0.00,13.31,0.00
08/04/2023,00:59:03,0.00,0.00,13.31,0.00
08/04/2023,00:59:04,0.00,0.00,13.31,0.00
08/04/2023,01:00:03,0.00,0.00,13.31,0.00
08/04/2023,01:00:03,mm,0.00
08/04/2023,01:00:03,0.00,0.00,13.31,0.00
08/04/2023,01:00:04,mm,0.00
08/04/2023,01:01:03,0.00,0.00,13.31,0.00
08/04/2023,01:01:04,0.00,0.00,13.31,0.00
08/04/2023,01:02:03,0.00,0.00,13.31,0.00
08/04/2023,01:06:03,0.00,0.00,13.31,0.00
08/04/2023,01:06:03,0.00,0.00,13.31,0.00
08/04/2023,01:06:03
08/04/2023,01:07:03,0.00,0.00,13.31,0.00
08/04/2023,01:07:04,0.00,0.00,13.31,0.00
08/04/2023,01:07:04,0.00,0.00,13.31,0.00
08/04/2023,01:07:04,0.00,0.00,13.31,0.00
08/04/2023,01:08:03,0.00,0.00,13.31,0.00
08/04/2023,01:08:04,0.00,0.00,13.31,0.00
08/04/2023,01:09:04,0.00,0.00,13.31,0.00
08/04/2023,01:09:04,0.00,0.00,13.31,0.00
08/04/2023,01:10:03,0.00,0.00,13.31,0.00
08/04/2023,01:10:04,0.00,0.00,13.31,0.00
08/04/2023,01:10:04,0.00,0.00,13.31,0.00
08/04/2023,01:10:04,0.00,0.00,13.31,0.00
08/04/2023,01:11:03,0.00,0.00,13.31,0.00
08/04/2023,01:11:03,0.00,0.00,13.31,0.00
08/04/2023,01:11:04,0.00,0.00,13.31,0.00
08/04/2023,01:14:04,0.00,0.00,13.31,0.00
08/04/2023,01:14:04,0.00,0.00,13.31,0.00
08/04/2023,01:14:04,0.00,0.00,13.31,0.00
08/04/2023,01:15:04,0.00,0.00,13.31,0.00
08/04/2023,01:15:04,0.00,0.00,13.31,0.00
08/04/2023,01:15:04,0.00,0.00,13.31,0.00
08/04/2023,01:16:03,0.00,0.00,13.31,0.00
08/04/2023,01:16:03,0.00,0.00,13.31,0.00
08/04/2023,01:16:04,0.00,0.00,13.31,0.00
08/04/2023,01:17:04,0.00,0.00,13.31,0.00
08/04/2023,01:17:04,0.00,0.00,13.31,0.00
08/04/2023,01:18:02,0.00,0.00,13.31,0.00
