,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,date,time,temp (c),pressure,hummidity,gas
0,0,0,0,0,0,07/02/2023,17:46:32,28.669453125,1006.6504127975168,42.70174475447607,1778
1,1,1,1,1,1,07/02/2023,17:47:02,28.9122265625,1006.5945794534258,40.39822495961957,4945
2,2,2,2,2,2,07/02/2023,17:47:32,28.9969921875,1006.6476832436296,40.52711562907506,2989
3,3,3,3,3,3,07/02/2023,17:48:02,29.083515625,1006.6495681901712,40.292032067610215,2080
4,4,4,4,4,4,07/02/2023,17:48:32,29.1587109375,1006.5852108170418,40.36606787063073,1724
5,5,5,5,5,5,07/02/2023,17:49:02,29.2341015625,1006.6294130208436,40.54771916068812,1512
6,6,6,6,6,6,07/02/2023,17:49:32,29.2985546875,1006.6148008160166,40.214602821495085,1357
7,7,7,7,7,7,07/02/2023,17:50:02,29.359296875,1006.6007640699672,39.98292234914837,1248
8,8,8,8,8,8,07/02/2023,17:50:32,29.4743359375,1006.5889945915884,39.62668411738977,4352
9,9,9,9,9,9,07/02/2023,17:51:02,29.4653515625,1006.5266681908452,39.88748715474507,4812
10,10,10,10,10,10,07/02/2023,17:51:32,29.458515625,1006.5559188574268,40.053540385811175,3023
11,11,11,11,11,11,07/02/2023,17:52:02,29.4712109375,1006.6244162001608,39.8940918809095,2143
12,12,12,12,12,12,07/02/2023,17:52:32,29.481171875,1006.593591781328,39.89519695918274,1796
13,13,13,13,13,13,07/02/2023,17:53:03,32.7040234375,1006.5810915766136,40.174099163920985,10410
14,14,14,14,14,14,07/02/2023,17:53:47,29.5469921875,1006.5608608220682,39.76557246747812,4008
15,15,15,15,15,15,07/02/2023,17:54:02,29.5458203125,1006.5453715947158,39.759491894652584,2859
16,16,16,16,16,16,07/02/2023,17:54:32,29.557734375,1006.5380979384056,39.7013126386153,3238
17,17,17,17,17,17,07/02/2023,17:55:02,29.561640625,1006.5378218044216,39.63037468562205,2023
18,18,18,18,18,18,07/02/2023,17:55:32,29.5622265625,1006.4710902356752,39.77916189496022,1588
19,19,19,19,19,19,07/02/2023,17:56:02,29.5596875,1006.534574602964,39.95156684871415,1359
20,20,20,20,20,20,07/02/2023,17:56:32,29.5766796875,1006.5289716771864,39.76885951577643,1221
21,21,21,21,21,21,07/02/2023,17:57:03,29.613984375,1006.5774498737436,39.68968634635337,1121
22,22,22,22,22,22,07/02/2023,17:57:33,29.6493359375,1006.5075649100744,39.48550271702779,1048
23,23,23,23,23,23,07/02/2023,17:58:02,29.6880078125,1006.4973608324648,39.501648355757865,997
24,24,24,24,24,24,07/02/2023,17:58:32,29.7372265625,1006.5114519230796,39.233907938272445,4928
25,25,25,25,25,25,07/02/2023,17:59:02,29.713203125,1006.5053814293384,39.30248692279296,2958
26,26,26,26,26,26,07/02/2023,17:59:32,29.733515625,1006.559462561812,39.20976919102924,2029
27,27,27,27,27,27,07/02/2023,18:00:03,29.7430859375,1006.5279637607732,38.94999016735745,1664
28,28,28,28,28,28,07/02/2023,18:00:33,29.7278515625,1006.543275069948,38.94240666338267,1447
29,29,29,29,29,29,07/02/2023,18:01:02,29.71515625,1006.5154001238504,38.90549160582642,1304
30,30,30,30,30,30,07/02/2023,18:01:32,29.7075390625,1006.5027385952382,38.827705190806114,1207
31,31,31,31,31,31,07/02/2023,18:02:02,29.6962109375,1006.4771367466092,38.80872010373052,1124
32,32,32,32,32,32,07/02/2023,18:02:32,29.745625,1006.4847768192822,38.73717183942938,991
33,33,33,33,33,33,07/02/2023,18:03:02,29.700703125,1006.5049197442992,38.85655614374386,975
34,34,34,34,34,34,07/02/2023,18:03:32,29.687421875,1006.482843110482,38.81960046308261,925
35,35,35,35,35,35,07/02/2023,18:04:02,29.684296875,1006.491192301952,38.81926085383598,882
36,36,36,36,36,36,07/02/2023,18:04:32,29.6735546875,1006.4868795346956,38.84176602060327,848
37,37,37,37,37,37,07/02/2023,18:05:02,29.6735546875,1006.5004229911084,38.86544197244277,819
38,38,38,38,38,38,07/02/2023,18:05:32,29.6829296875,1006.4618324043756,38.90790384293669,794
39,39,39,39,39,39,07/02/2023,18:06:02,29.7032421875,1006.5159123338173,38.77398205732807,770
40,40,40,40,40,40,07/02/2023,18:06:32,29.7126171875,1006.463774678826,38.76316753460152,752
41,41,41,41,41,41,07/02/2023,18:07:02,29.7165234375,1006.4838118246512,39.07152126244646,738
42,42,42,42,42,42,07/02/2023,18:08:19,29.846796875,1006.4429610145818,38.53529308074089,6597
43,43,43,43,43,43,07/02/2023,18:08:48,29.829609375,1006.4143978565008,38.74037405617035,4117
44,44,44,44,44,44,07/02/2023,18:09:03,29.832734375,1006.4331378751698,38.95384298406569,3356
45,45,45,45,45,45,07/02/2023,18:09:33,29.8169140625,1006.4474858082012,38.95211724140951,2834
46,46,46,46,46,46,07/02/2023,18:10:02,29.81125,1006.4245262675696,38.92188284039036,2461
47,47,47,47,47,47,07/02/2023,18:10:32,29.8106640625,1006.4709644937964,39.046244797980506,2052
48,48,48,48,48,48,07/02/2023,18:11:02,29.81515625,1006.4852036146216,39.343373777461125,1865
49,49,49,49,49,49,07/02/2023,18:11:32,29.82765625,1006.4856585711811,39.249762814397606,1714
50,50,50,50,50,50,07/02/2023,18:12:02,29.806171875,1006.456725486732,38.868033645709275,1606
51,51,51,51,51,51,07/02/2023,18:12:32,29.7829296875,1006.472280838571,39.00173100032348,1504
52,52,52,52,52,52,07/02/2023,18:13:03,29.7821484375,1006.5048466576076,39.149848440881904,1413
53,53,53,53,53,53,07/02/2023,18:13:33,29.7739453125,1006.5250762548706,39.143019661489355,1338
54,54,54,54,54,54,07/02/2023,18:14:03,29.7985546875,1006.5388884136564,39.27624418140812,1271
55,55,55,55,55,55,07/02/2023,18:14:32,29.793671875,1006.5172266791216,39.18076780530054,1215
56,56,56,56,56,56,07/02/2023,18:15:02,29.8106640625,1006.4845107948028,39.18856227750199,1160
57,57,57,57,57,57,07/02/2023,18:15:32,29.8251171875,1006.5017586460798,39.3088432919328,1117
58,58,58,58,58,58,07/02/2023,18:16:02,29.8118359375,1006.4593658051176,39.25989626718237,1079
59,59,59,59,59,59,07/02/2023,18:16:32,29.8442578125,1006.4455149343474,39.322821793803016,1044
60,60,60,60,60,60,07/02/2023,18:17:03,29.86125,1006.46020652519,39.2950031505971,1012
61,61,61,61,61,61,07/02/2023,18:17:33,29.8833203125,1006.4562410811782,39.42215595181054,981
62,62,62,62,62,62,07/02/2023,18:18:02,29.902265625,1006.44030607653,39.465842453962054,956
